location,Population,Urban population,Density  (P/Km²) ,Median age,Migrants (net) 
Afghanistan,38928346.00,9904337.00,60.00,18.40,-62920.00
Albania,28777974.00,1827362.00,105.00,36.40,-14000.00
Algeria,43851044.00,31950910.00,18.00,28.50,-10000.00
Andorra,77265.00,67857.00,164.00,,
Angola,32866272.00,21936953.00,26.00,16.70,6413.00
Anguilla,15003.00,,167.00,,
Antigua and Barbuda,97929.00,25682.00,223.00,34.00,0.00
Argentina,45195774.00,41919857.00,17.00,31.50,4800.00
Armenia,2963243.00,1860554.00,104.00,35.40,-4998.00
Aruba,106766.00,46511.00,593.00,41.00,201.00
Australia,25499884.00,21903705.00,3.00,37.90,158246.00
Austria,9006398.00,5159360.00,109.00,43.50,65000.00
Azerbaijan,10139177.00,5695930.00,123.00,32.30,1200.00
Bahamas,393244.00,338674.00,39.00,32.30,1000.00
Bahrain,1701575.00,1519595.00,2239.00,32.50,47800.00
Bangladesh,164689383.00,64814953.00,1265.00,27.60,-369501.00
Barbados,287375.00,89695.00,668.00,40.50,-79.00
Belarus,9449323.00,7483636.00,47.00,40.30,8730.00
Belgium,11589623.00,11396775.00,383.00,41.90,48000.00
Belize,397628.00,183182.00,17.00,25.20,1200.00
Benin,12123200.00,5869303.00,108.00,18.80,-2000.00
Bermuda,62278.00,60639.00,1246.00,,
Bhutan,771608.00,353445.00,20.00,28.10,320.00
Bolivia,11673021.00,8094974.00,11.00,25.60,-9504.00
Bonaire Sint Eustatius and Saba,,,,,
Bosnia and Herzegovina,3280819.00,1714810.00,64.00,43.10,-21585.00
Botswana,2351627.00,1712212.00,4.00,24.00,3000.00
Brazil,212559417.00,186217070.00,25.00,33.50,21200.00
British Virgin Islands,30213.00,15832.00,202.00,,
Brunei,437479.00,347838.00,83.00,32.30,0.00
Bulgaria,6948445.00,5253037.00,64.00,44.60,-4800.00
Burkina Faso,20903273.00,6397911.00,76.00,17.60,-25000.00
Burundi,11890784.00,1636586.00,463.00,17.30,2001.00
Cambodia,16718965.00,4050459.00,95.00,25.60,-30000.00
Cameroon,26545863.00,14941523.00,56.00,18.70,-4800.00
Canada,37742154.00,30670064.00,4.00,41.10,242032.00
Cape Verde,555987.00,378148.00,138.00,27.60,-1342.00
Cayman Islands,65722.00,63890.00,274.00,,
Central African Republic,4829767.00,2076534.00,8.00,17.60,-40000.00
Chad,16425864.00,3830260.00,13.00,16.60,2000.00
Chile,19116201.00,16205574.00,26.00,35.30,111708.00
China,1439323776.00,875075919.00,153.00,38.40,-348399.00
Colombia,50882892.00,40891996.00,46.00,31.10,204796.00
Congo,5518087.00,3857353.00,16.00,19.20,-4000.00
Costa Rica,5094118.00,4074214.00,100.00,33.50,4200.00
Cote d'Ivoire,26378274.00,13532312.00,83.00,18.90,-8000.00
Croatia,4105267.00,2368833.00,73.00,44.30,-8001.00
Cuba,11326616.00,8873848.00,106.00,42.20,-14400.00
Curacao,164093.00,145612.00,370.00,41.60,515.00
Cyprus,1207359.00,806754.00,131.00,37.30,5000.00
Czech Republic,10708981.00,7875268.00,139.00,43.20,22011.00
Democratic Republic of Congo,89561403.00,40848447.00,40.00,17.00,23861.00
Denmark,5792202.00,5107903.00,137.00,42.30,15200.00
Djibouti,988000.00,780538.00,43.00,26.60,900.00
Dominica,71986.00,53355.00,96.00,,
Dominican Republic,10847910.00,9168876.00,225.00,28.00,-30000.00
Ecuador,17643054.00,11123641.00,71.00,27.90,36400.00
Egypt,102334404.00,44041052.00,103.00,24.60,-38033.00
El Salvador,6486205.00,4758508.00,313.00,27.60,-40539.00
Equatorial Guinea,1402985.00,1027990.00,50.00,22.30,16000.00
Eritrea,3546421.00,2246038.00,35.00,19.20,-39858.00
