Location,Population,Urban population,Density,Median age,Migrants
World,7794798739.0,4378993944.0,52.0,30.9,
Afghanistan,38928346.0,9904337.0,60.0,18.4,-62920.0
Albania,28777974.0,1827362.0,105.0,36.4,-14000.0
Algeria,43851044.0,31950910.0,18.0,28.5,-10000.0
Andorra,77265.0,67857.0,164.0,,
Angola,32866272.0,21936953.0,26.0,16.7,6413.0
Anguilla,15003.0,,167.0,,
Antigua and Barbuda,97929.0,25682.0,223.0,34.0,0.0
Argentina,45195774.0,41919857.0,17.0,31.5,4800.0
Armenia,2963243.0,1860554.0,104.0,35.4,-4998.0
Aruba,106766.0,46511.0,593.0,41.0,201.0
Australia,25499884.0,21903705.0,3.0,37.9,158246.0
Austria,9006398.0,5159360.0,109.0,43.5,65000.0
Azerbaijan,10139177.0,5695930.0,123.0,32.3,1200.0
Bahamas,393244.0,338674.0,39.0,32.3,1000.0
Bahrain,1701575.0,1519595.0,2239.0,32.5,47800.0
Bangladesh,164689383.0,64814953.0,1265.0,27.6,-369501.0
Barbados,287375.0,89695.0,668.0,40.5,-79.0
Belarus,9449323.0,7483636.0,47.0,40.3,8730.0
Belgium,11589623.0,11396775.0,383.0,41.9,48000.0
Belize,397628.0,183182.0,17.0,25.2,1200.0
Benin,12123200.0,5869303.0,108.0,18.8,-2000.0
Bermuda,62278.0,60639.0,1246.0,,
Bhutan,771608.0,353445.0,20.0,28.1,320.0
Bolivia,11673021.0,8094974.0,11.0,25.6,-9504.0
Bonaire Sint Eustatius and Saba,,,,,
Bosnia and Herzegovina,3280819.0,1714810.0,64.0,43.1,-21585.0
Botswana,2351627.0,1712212.0,4.0,24.0,3000.0
Brazil,212559417.0,186217070.0,25.0,33.5,21200.0
British Virgin Islands,30213.0,15832.0,202.0,,
Brunei,437479.0,347838.0,83.0,32.3,0.0
Bulgaria,6948445.0,5253037.0,64.0,44.6,-4800.0
Burkina Faso,20903273.0,6397911.0,76.0,17.6,-25000.0
Burundi,11890784.0,1636586.0,463.0,17.3,2001.0
Cambodia,16718965.0,4050459.0,95.0,25.6,-30000.0
Cameroon,26545863.0,14941523.0,56.0,18.7,-4800.0
Canada,37742154.0,30670064.0,4.0,41.1,242032.0
Cape Verde,555987.0,378148.0,138.0,27.6,-1342.0
Cayman Islands,65722.0,63890.0,274.0,,
Central African Republic,4829767.0,2076534.0,8.0,17.6,-40000.0
Chad,16425864.0,3830260.0,13.0,16.6,2000.0
Chile,19116201.0,16205574.0,26.0,35.3,111708.0
China,1439323776.0,875075919.0,153.0,38.4,-348399.0
Colombia,50882892.0,40891996.0,46.0,31.1,204796.0
Congo,5518087.0,3857353.0,16.0,19.2,-4000.0
Costa Rica,5094118.0,4074214.0,100.0,33.5,4200.0
Cote d'Ivoire,26378274.0,13532312.0,83.0,18.9,-8000.0
Croatia,4105267.0,2368833.0,73.0,44.3,-8001.0
Cuba,11326616.0,8873848.0,106.0,42.2,-14400.0
Curacao,164093.0,145612.0,370.0,41.6,515.0
Cyprus,1207359.0,806754.0,131.0,37.3,5000.0
Czech Republic,10708981.0,7875268.0,139.0,43.2,22011.0
Democratic Republic of Congo,89561403.0,40848447.0,40.0,17.0,23861.0
Denmark,5792202.0,5107903.0,137.0,42.3,15200.0
Djibouti,988000.0,780538.0,43.0,26.6,900.0
Dominica,71986.0,53355.0,96.0,,
Dominican Republic,10847910.0,9168876.0,225.0,28.0,-30000.0
