Location,Temperature,Feels_Like,Min_Temperature,Max_Temperature,Pressure(PHa),Humimdity,GDP_PC_2018,CHE_PC_2017
World,,,,,,,11312.4399293599,
Afghanistan,9.78000000000003,8.200000000000045,9.0,11.0,1019.0,87.0,520.896602719135,67.1
Albania,14.0,13.879999999999995,14.0,14.0,1013.0,87.0,5268.84850355919,
Algeria,16.0,12.879999999999995,16.0,16.0,1005.0,93.0,4114.71506136896,258.5
Andorra,6.410000000000025,3.900000000000034,4.439999999999999,8.330000000000041,1006.0,95.0,42029.7627372989,4040.8
Angola,27.0,31.5,27.0,27.0,1012.0,88.0,3432.38573600893,114.5
Anguilla,27.29000000000002,27.820000000000054,26.670000000000016,28.0,1017.0,65.0,,
Antigua and Barbuda,26.230000000000015,28.36000000000001,25.56,27.0,1016.0,74.0,16726.9808079479,673.9
Argentina,20.730000000000018,20.660000000000025,20.0,22.0,1016.0,68.0,11683.9496216363,1324.6
Armenia,9.0,7.7100000000000355,9.0,9.0,1016.0,81.0,4212.07094272937,407.6
Aruba,29.0,26.660000000000025,29.0,29.0,1011.0,70.0,,
Australia,11.160000000000023,4.300000000000011,10.560000000000002,11.670000000000016,1016.0,66.0,57373.6866841281,5331.8
Austria,7.8799999999999955,3.080000000000041,5.560000000000002,9.439999999999998,1020.0,49.0,51461.9547804677,4939.9
Azerbaijan,8.0,5.1200000000000045,8.0,8.0,1014.0,93.0,4721.17808673142,275.8
Bahamas,28.5,28.640000000000047,28.0,28.890000000000047,1014.0,69.0,,1771.5
Bahrain,24.590000000000032,27.660000000000025,24.0,25.0,1008.0,73.0,24050.7575053956,1127.2
Bangladesh,24.0,21.780000000000033,24.0,24.0,1011.0,88.0,1698.26280233547,36.3
Barbados,27.0,25.94,27.0,27.0,1015.0,74.0,17949.2815054371,1183.8
Belarus,1.0,-3.5,1.0,1.0,1019.0,74.0,6289.93855308212,342.5
Belgium,10.890000000000043,7.689999999999998,10.0,11.670000000000016,1017.0,61.0,47518.6360388914,4507.4
Belize,33.200000000000045,32.55000000000001,30.56,40.0,1006.0,33.0,4884.74242133376,280.5
Benin,27.0,30.210000000000036,27.0,27.0,1013.0,83.0,901.543871206357,30.8
Bermuda,17.680000000000007,15.170000000000016,16.670000000000016,19.0,1018.0,55.0,,
Bhutan,6.830000000000041,3.0,6.830000000000041,6.830000000000041,1017.0,34.0,3243.23112508014,96.8
Bolivia,8.0,3.080000000000041,8.0,8.0,1039.0,65.0,3548.59013979338,
Bonaire Sint Eustatius and Saba,,,,,,,,
Bosnia and Herzegovina,11.930000000000007,10.379999999999997,11.930000000000007,11.930000000000007,1015.0,69.0,6065.67270824158,460.5
Botswana,17.0,15.450000000000045,17.0,17.0,1025.0,67.0,8258.64166574691,465.9
Brazil,21.850000000000023,21.360000000000014,20.56,23.0,1020.0,78.0,8920.76210462979,928.8
British Virgin Islands,27.220000000000034,28.340000000000032,27.220000000000034,27.220000000000034,1015.0,80.0,,
Brunei,,,,,,,,
Bulgaria,11.620000000000005,9.870000000000003,9.439999999999998,13.330000000000037,1011.0,62.0,9272.62930360848,663.7
Burkina Faso,27.5,28.129999999999995,27.0,28.0,1013.0,65.0,715.12290404614,44.4
Burundi,21.970000000000027,22.45000000000005,21.970000000000027,21.970000000000027,1015.0,52.0,271.752044376648,23.5
Cambodia,28.0,32.23000000000002,28.0,28.0,1009.0,78.0,1510.3248705764,82.1
Cameroon,22.0,25.230000000000015,22.0,22.0,1019.0,100.0,1533.74213975885,67.8
Canada,6.5400000000000205,0.09000000000003182,6.110000000000013,7.220000000000027,1000.0,81.0,46232.9896226967,4754.9
Cape Verde,23.0,18.830000000000037,23.0,23.0,1018.0,64.0,,
Cayman Islands,29.640000000000047,33.24000000000001,28.890000000000047,30.0,1013.0,74.0,,
Central African Republic,24.0,27.090000000000032,24.0,24.0,1012.0,83.0,475.721250544318,24.2
Chad,31.0,26.660000000000025,31.0,31.0,1008.0,10.0,728.343235359289,29.7
Chile,27.49000000000001,27.150000000000034,27.0,28.0,1017.0,39.0,15923.3587375381,1382.0
China,12.470000000000026,4.670000000000017,10.0,15.560000000000002,1009.0,42.0,9770.84708783314,440.8
Colombia,17.0,14.050000000000011,17.0,17.0,1026.0,67.0,6667.7906995498,459.2
Congo,,,,,,,,50.0
Costa Rica,21.44,24.140000000000047,21.0,22.0,1016.0,88.0,12027.3658826316,869.1
Cote d'Ivoire,24.31,27.710000000000036,24.31,24.31,1013.0,88.0,1715.53133212649,69.7
Croatia,13.710000000000036,10.070000000000052,13.0,14.0,1017.0,76.0,14909.6931860854,902.1
Cuba,31.830000000000037,32.55000000000001,31.670000000000016,32.0,1012.0,49.0,8821.81889125004,987.6
Curacao,,,,,,,19567.8924351055,
Cyprus,16.129999999999995,14.160000000000027,14.0,18.0,1012.0,87.0,28159.3016999455,1731.7
Czech Republic,5.78000000000003,1.5400000000000205,5.0,6.670000000000017,1022.0,52.0,23078.5734865691,
Democratic Republic of Congo,,,,,,,,
Denmark,6.4500000000000455,3.330000000000041,5.0,7.78000000000003,1028.0,74.0,61350.3479093986,5800.2
Djibouti,27.0,32.28000000000004,27.0,27.0,1013.0,88.0,3082.54309871957,70.3
Dominica,27.0,29.51000000000005,27.0,27.0,1016.0,74.0,7691.34509727878,439.6
Dominican Republic,27.95000000000005,32.68000000000001,27.780000000000033,28.330000000000037,1015.0,78.0,8050.63160184635,433.2
Ecuador,17.0,16.54000000000002,17.0,17.0,1025.0,72.0,6344.87197850057,518.0
Egypt,17.890000000000047,14.57000000000005,17.78000000000003,18.0,1013.0,63.0,,105.8
El Salvador,27.25,26.77000000000004,24.44,31.0,1014.0,69.0,4058.25243928118,282.5
Equatorial Guinea,26.0,31.24000000000001,26.0,26.0,1014.0,100.0,10261.7600116887,301.2
Eritrea,16.49000000000001,12.590000000000034,16.49000000000001,16.49000000000001,1009.0,18.0,,32.9
Estonia,4.810000000000001,1.6100000000000136,4.439999999999999,5.0,1022.0,80.0,23266.3462718751,1300.5
Ethiopia,18.0,16.810000000000002,18.0,18.0,1026.0,63.0,772.313530261357,25.3
Faeroe Islands,,,,,,,,
Falkland Islands,6.0,-1.4099999999999682,6.0,6.0,988.0,87.0,,
Fiji,27.0,30.45000000000005,27.0,27.0,1017.0,88.0,6266.96796528074,188.4
Finland,5.840000000000032,2.490000000000009,5.0,6.670000000000017,1022.0,81.0,50152.3401411303,4205.7
France,12.410000000000027,9.379999999999997,11.670000000000016,13.0,1013.0,81.0,41463.6440227034,4379.7
French Polynesia,32.0,34.82000000000005,32.0,32.0,1014.0,62.0,,
Gabon,29.0,33.420000000000016,29.0,29.0,1012.0,83.0,7952.52589277651,204.5
Gambia,,,,,,,,23.3
Georgia,15.0,7.350000000000023,15.0,15.0,1017.0,51.0,4717.14302573577,293.1
